Date,AAL,UAL,OIL
2007-01-03,53.89,44.8,55.42
2007-01-04,56.3,46.01,53.26
2007-01-05,58.83,46.52,51.3
2007-01-08,57.3,45.47,51.88
2007-01-09,59.44,48.17,51.2
2007-01-10,60.03,47.64,50.6
2007-01-11,59.18,48.4,49.22
2007-01-12,61.2,49.8,48.68
2007-01-16,60.81,49.82,48.58
2007-01-17,60.96,50.5,47.97
2007-01-18,58.65,49.16,48.24
2007-01-19,57.73,49.81,48.3
2007-01-22,58.3,49.15,49.72
2007-01-23,55.4,45.92,49.6
2007-01-24,53.2,44.61,50.92
2007-01-25,53.8,45.58,51.27
2007-01-26,53.15,44.14,51.04
2007-01-29,52.23,43.89,51.28
2007-01-30,55.31,45.14,50.82
2007-01-31,53.1,43.0,52.62
2007-02-01,56.5,43.0,53.49
2007-02-02,57.0,43.91,53.64
2007-02-05,57.49,44.92,54.66
2007-02-06,57.64,43.91,54.68
2007-02-07,58.4,44.89,54.4
2007-02-08,58.0,45.06,53.6
2007-02-09,59.36,45.47,55.08
2007-02-12,58.45,44.95,53.99
2007-02-13,58.9,44.69,53.38
2007-02-14,57.6,44.59,53.76
2007-02-15,57.61,44.64,52.88
2007-02-16,57.72,44.58,53.69
2007-02-20,56.96,45.01,53.42
2007-02-21,56.37,45.17,54.0
2007-02-22,55.71,44.62,55.14
2007-02-23,54.62,43.28,56.55
2007-02-26,54.38,42.8,57.07
2007-02-27,53.03,41.46,57.24
2007-02-28,51.76,39.92,56.69
2007-03-01,51.0,39.44,58.47
2007-03-02,51.9,40.17,58.65
2007-03-05,50.52,38.68,57.32
2007-03-06,50.35,39.04,57.21
2007-03-07,50.08,39.21,58.2
2007-03-08,49.88,39.02,58.73
2007-03-09,49.75,38.66,58.29
2007-03-12,49.2,38.3,57.37
2007-03-13,49.06,39.44,57.38
2007-03-14,47.75,38.68,57.23
2007-03-15,45.95,37.35,57.28
2007-03-16,46.21,38.83,56.86
2007-03-19,46.3,38.85,56.74
2007-03-20,47.88,39.72,56.59
2007-03-21,49.0,40.58,56.87
2007-03-22,50.47,41.38,57.91
2007-03-23,47.9,39.65,59.05
2007-03-26,47.0,39.4,60.16
2007-03-27,46.87,38.32,60.49
2007-03-28,46.04,37.96,61.88
2007-03-29,46.65,38.6,62.52
2007-03-30,46.07,38.3,63.79
2007-04-02,45.26,38.3,64.06
2007-04-03,46.32,39.02,63.87
2007-04-04,48.1,40.59,63.48
2007-04-05,46.4,40.22,64.16
2007-04-09,46.3,41.1,63.74
2007-04-10,47.15,42.14,62.82
2007-04-11,45.75,42.25,63.54
2007-04-12,44.9,42.31,63.83
2007-04-13,44.12,42.15,64.88
2007-04-16,45.48,42.5,64.05
2007-04-17,45.32,42.59,63.14
2007-04-18,45.7,43.31,61.96
2007-04-19,46.95,44.08,61.98
2007-04-20,45.61,43.14,62.23
2007-04-23,45.5,40.6,63.1
2007-04-24,43.4,39.4,63.94
2007-04-25,42.45,37.88,63.69
2007-04-26,44.1,38.12,64.2
2007-04-27,38.81,35.75,64.03
2007-04-30,38.0,34.5,64.26
2007-05-01,36.7,32.9,64.81
2007-05-02,35.87,32.97,63.69
2007-05-03,36.45,33.95,63.19
2007-05-04,35.71,33.9,63.1
2007-05-07,36.52,36.7,61.93
2007-05-08,35.12,35.03,62.1
2007-05-09,34.25,35.74,62.19
2007-05-10,33.8,34.99,62.36
2007-05-11,33.11,35.02,63.15
2007-05-14,32.81,34.36,63.79
2007-05-15,33.2,33.84,63.79
2007-05-16,32.87,33.36,64.55
2007-05-17,32.1,34.54,65.29
2007-05-18,33.19,35.61,66.01
2007-05-21,33.49,35.85,66.24
2007-05-22,33.36,35.76,66.62
2007-05-23,34.98,37.0,66.36
2007-05-24,34.8,37.3,66.93
2007-05-25,35.1,37.95,66.57
2007-05-29,34.84,38.29,65.49
2007-05-30,35.37,38.51,64.3
2007-05-31,35.7,39.6,64.45
2007-06-01,35.72,39.54,64.6
2007-06-04,35.25,38.54,65.81
2007-06-05,34.3,36.45,66.34
2007-06-06,33.4,36.77,66.58
2007-06-07,34.4,36.17,67.18
2007-06-08,30.56,35.27,66.23
2007-06-11,30.6,35.17,65.14
2007-06-12,29.7,35.3,65.46
2007-06-13,29.27,34.89,65.67
2007-06-14,28.72,35.23,66.87
2007-06-15,28.82,35.79,67.5
2007-06-18,27.9,35.53,68.02
2007-06-19,27.9,36.24,68.33
2007-06-20,29.12,38.0,67.7
2007-06-21,29.5,38.46,67.7
2007-06-22,29.38,39.3,67.5
2007-06-25,29.78,39.36,67.38
2007-06-26,29.36,39.22,67.53
2007-06-27,28.03,38.57,67.41
2007-06-28,31.2,39.96,67.72
2007-06-29,30.95,40.63,68.02
2007-07-02,30.68,40.51,68.73
2007-07-03,31.03,41.67,69.65
2007-07-05,33.0,41.64,70.38
2007-07-06,33.55,44.42,71.33
2007-07-09,34.62,44.51,71.55
2007-07-10,35.6,44.75,71.78
2007-07-11,34.49,43.53,72.05
2007-07-12,34.81,43.09,72.15
2007-07-13,34.11,43.2,72.67
2007-07-16,33.94,43.04,72.97
2007-07-17,35.11,45.06,72.05
2007-07-18,35.05,45.85,72.2
2007-07-19,35.11,47.55,73.36
2007-07-20,35.63,46.93,73.8
2007-07-23,35.1,47.6,73.13
2007-07-24,34.52,49.28,72.02
2007-07-25,35.26,49.2,71.65
2007-07-26,34.0,47.25,73.01
2007-07-27,35.0,46.25,72.36
2007-07-30,33.9,46.0,72.35
2007-07-31,32.95,45.83,72.56
2007-08-01,30.73,44.0,73.17
2007-08-02,31.5,44.94,72.3
2007-08-03,30.5,45.76,72.12
2007-08-06,31.38,45.05,70.3
2007-08-07,29.65,43.31,68.34
2007-08-08,32.07,43.84,68.59
2007-08-09,30.61,45.21,68.29
2007-08-10,29.0,43.48,67.56
2007-08-13,29.44,43.12,68.36
2007-08-14,29.75,43.12,67.75
2007-08-15,28.46,41.47,68.68
2007-08-16,25.99,37.76,67.63
2007-08-17,27.66,38.95,67.83
2007-08-20,26.55,40.83,67.69
2007-08-21,26.6,40.14,67.1
2007-08-22,29.32,43.23,66.6
2007-08-23,30.75,44.18,67.07
2007-08-24,29.62,43.69,67.61
2007-08-27,30.3,44.78,67.76
2007-08-28,29.39,44.06,68.25
2007-08-29,28.84,44.09,68.41
2007-08-30,29.57,44.93,69.18
2007-08-31,30.6,46.74,69.7
2007-09-04,30.86,47.9,70.88
2007-09-05,32.56,47.75,71.46
2007-09-06,31.31,47.0,72.1
2007-09-07,30.63,45.16,72.01
2007-09-10,30.33,44.73,72.27
2007-09-11,29.74,45.0,73.13
2007-09-12,30.81,45.5,74.21
2007-09-13,29.89,44.53,74.64
